VisitID,User,TypeID,,
SN10001871358,IND@,TNNULL,,
SN10001871358,INDAHEALY,TNRN,,
SN10001871358,INDAPEARCE,TNRN,,
SN10001871358,INDAVOLPE,TNT,,
SN10001871358,INDBGARRETT,TNPT,,
SN10001871358,INDBZULU,TNT,,
SN10001871358,INDCMICELI,TNT,,
SN10001871358,INDDSPACCAREL,TNCC,,
SN10001871358,INDEPRUYNE,TNOT,,
SN10001871358,INDESAVARESE,TNNULL,,
SN10001871358,INDHVILLAFUER,TNT2,,
SN10001871358,INDJCRISTALLO,TNRN,,
SN10001871358,INDJSPENCER,TNNULL,,
SN10001871358,INDKKAZUP,TNRN,,
SN10001871358,INDKLYNN,TNCM-RN,,
SN10001871358,INDKMCDONALD5,TNRN,,
SN10001871358,INDKMCGUINNES,TNRN,,
SN10001871358,INDKRNAGEL,TNRN,,
SN10001871358,INDMFRASCONE,TNCC,,
SN10001871358,INDMPALOTTA,TNRN,,
SN10001871358,INDMZANETTI,TNT,,
SN10001871358,INDNDAVIS2,TNRN,,
SN10001871358,INDPPANG1,TNCC,,
SN10001871358,INDPWALSH,TNRN,,
SN10001871358,INDRALBERT,TNRN,,
SN10001871358,INDSSCHENFELD,TNRN,,
SN10001871358,INDSTMOGAN,TNRN,,
SN10001871358,INDTARNOLD,TNT,,
SN10001871358,INDWBERNHEY1,TNRN,,
SN10001884481,IND@,TNNULL,,
SN10001884481,INDAREEDER,TNRN,,
SN10001884481,INDBOCASIOCOR,TNCC,,
SN10001884481,INDCONEILIS,TNRN,,
SN10001884481,INDCREVIS,TNRN,,
SN10001884481,INDDBERCK,TNNULL,,
SN10001884481,INDDDUVALL,TNCC,,
SN10001884481,INDDEJOHNSON,TNLPN,,
SN10001884481,INDEADESSA,TNRN,,
SN10001884481,INDEMILLS,TNRN,,
SN10001884481,INDFMURRIN,TNRN,,
SN10001884481,INDJCORNELIO,TNRN,,
SN10001884481,INDJEDWARD,TNRN,,
SN10001884481,INDJSIA,TNRN,,
SN10001884481,INDJSPENCER,TNNULL,,
SN10001884481,INDKCOLAIZZI,TNRN,,
SN10001884481,INDLMARAIA,TNCC,,
SN10001884481,INDMPADOVANI,TNRN,,
SN10001884481,INDMROHRMAN,TNRN,,
SN10001884481,INDMVARCASIO,TNRN,,
SN10001884481,INDMWEISBERGE,TNCC,,
SN10001884481,INDPMGAYLE,TNCC,,
SN10001884481,INDRGABRILLO,TNRN,,
SN10001884481,INDSPERL,TNRN,,
SN10001888428,IND@,TNNULL,,
SN10001888428,INDAADAMO,TNRN,,
SN10001888428,INDAREEDER,TNRN,,
SN10001888428,INDBOCASIOCOR,TNCC,,
SN10001888428,INDCDUNNING,TNRN,,
SN10001888428,INDDDUVALL,TNCC,,
SN10001888428,INDDEJOHNSON,TNLPN,,
SN10001888428,INDEMILLS,TNRN,,
SN10001888428,INDENWOSISI,TNRN,,
SN10001888428,INDERUDNICK,TNRN,,
SN10001888428,INDESANSEVERI,TNRN,,
SN10001888428,INDJCORNELIO,TNRN,,
SN10001888428,INDJEDWARD,TNRN,,
SN10001888428,INDJOHARODRIG,TNMR,,
SN10001888428,INDJSPENCER,TNNULL,,
SN10001888428,INDKLOWE,TNLPN,,
SN10001888428,INDLMARAIA,TNCC,,
SN10001888428,INDMAPISCOPA,TNLPN,,
SN10001888428,INDPMGAYLE,TNCC,,
SN10001888428,INDSMILLER1,TNCC,,
SN10001888428,INDSRENZI,TNRN,,
SN10001888428,INDYPARTOUCHE,TNNULL,,
SN10001901190,IND@,TNNULL,,
SN10001901190,INDCDOXFORD,TNRN,,
SN10001901190,INDEHOULT,TNPT,,
SN10001901190,INDEZEVALLOS,TNCC,,
SN10001901190,INDHGRACE,TNRN,,
SN10001901190,INDJAPADILLA,TNCM-RN,,
SN10001901190,INDJCRISTALLO,TNRN,,
SN10001901190,INDJOABRAHAMS,TNNULL,,
SN10001901190,INDJSNIZEK,TNCC,,
SN10001901190,INDJWOODALL,TNRN,,
SN10001901190,INDKHRENO,TNT,,
SN10001901190,INDKRNAGEL,TNRN,,
SN10001901190,INDKSTEIN,TNRD,,
SN10001901190,INDMCHOA,TNRN,,
SN10001901190,INDMFRASCONE,TNCC,,
SN10001901190,INDMKULLMAN,TNNULL,,
SN10001901190,INDPHEBERT,TNRN,,
SN10001901190,INDRHAVILAND,TNRN,,
SN10001901190,INDSLANZA,TNT,,
SN10001901190,INDSWHALEN1,TNT,,
SN10001901911,IND@,TNNULL,,
SN10001901911,INDAADAMO,TNRN,,
SN10001901911,INDBOCASIOCOR,TNCC,,
SN10001901911,INDCCARROLL1,TNRN,,
SN10001901911,INDCONEILIS,TNRN,,
SN10001901911,INDCTUTTLE,TNLPN,,
SN10001901911,INDDBERCK,TNNULL,,
SN10001901911,INDDPOZO,TNRN,,
SN10001901911,INDEMILLS,TNRN,,
SN10001901911,INDGSMYTH,TNRN,,
SN10001901911,INDJCATALANO,TNLPN,,
SN10001901911,INDJSPENCER,TNNULL,,
SN10001901911,INDKCOLAIZZI,TNRN,,
SN10001901911,INDKKOHL1,TNRN,,
SN10001901911,INDKLOWE,TNLPN,,
SN10001901911,INDKMCKECHNIE,TNRN,,
SN10001901911,INDLBECKMANN,TNLPN,,
SN10001901911,INDMALEXIS,TNRN,,
SN10001901911,INDMDEGAGLIA,TNLPN,,
SN10001901911,INDMVARCASIO,TNRN,,
SN10001901911,INDPMGAYLE,TNCC,,
SN10001901911,INDRSTEVENS,TNRN,,
SN10001901911,INDSRENZI,TNRN,,
SN10001901911,INDTALLEYNE2,TNCC,,
SN10001901911,INDTEBANKS,TNRN,,
SN10001903619,IND@,TNNULL,,
SN10001903619,INDBOCASIOCOR,TNCC,,
SN10001903619,INDCBAKAS,TNNULL,,
SN10001903619,INDCTUTTLE,TNLPN,,
SN10001903619,INDDPOZO,TNRN,,
SN10001903619,INDEMILLS,TNRN,,
SN10001903619,INDEZEVALLOS,TNCC,,
SN10001903619,INDJCORNELIO,TNRN,,
SN10001903619,INDJOHARODRIG,TNMR,,
SN10001903619,INDKCOLAIZZI,TNRN,,
SN10001903619,INDKMCKECHNIE,TNRN,,
SN10001903619,INDLBECKMANN,TNLPN,,
SN10001903619,INDLBROWN,TNRN,,
SN10001903619,INDMALEXIS,TNRN,,
SN10001903619,INDMARLIA,TNNULL,,
SN10001903619,INDMDEGAGLIA,TNLPN,,
SN10001903619,INDMPADOVANI,TNRN,,
SN10001903619,INDPMGAYLE,TNCC,,
SN10001903619,INDSMURPHY3,TNRN,,
SN10001903619,INDSRENZI,TNRN,,
SN10001903619,INDTALLEYNE2,TNCC,,
SN10001904535,IND@,TNNULL,,
SN10001904535,INDAADAMO,TNRN,,
SN10001904535,INDBOCASIOCOR,TNCC,,
SN10001904535,INDCTUTTLE,TNLPN,,
SN10001904535,INDDBERCK,TNNULL,,
SN10001904535,INDDDUVALL,TNCC,,
SN10001904535,INDDEJOHNSON,TNLPN,,
SN10001904535,INDEMILLS,TNRN,,
SN10001904535,INDJCORNELIO,TNRN,,
SN10001904535,INDJDUGAY,TNRN,,
SN10001904535,INDJEDWARD,TNRN,,
SN10001904535,INDJNICOL,TNRN,,
SN10001904535,INDJPROETTA,TNLPN,,
SN10001904535,INDKLOWE,TNLPN,,
SN10001904535,INDLBECKMANN,TNLPN,,
SN10001904535,INDLBROWN,TNRN,,
SN10001904535,INDLMARAIA,TNCC,,
SN10001904535,INDMROHRMAN,TNRN,,
SN10001904535,INDMVARCASIO,TNRN,,
SN10001904535,INDNGEIGER,TNRN,,
SN10001904535,INDNRYJIKOV,TNNULL,,
SN10001904535,INDPLATTANZIO,TNRN,,
SN10001904535,INDPMGAYLE,TNCC,,
SN10001904535,INDSMILLER1,TNCC,,
SN10001915346,IND@,TNNULL,,
SN10001915346,INDAADAMO,TNRN,,
SN10001915346,INDAKELLER,TNNULL,,
SN10001915346,INDBOCASIOCOR,TNCC,,
SN10001915346,INDCTUTTLE,TNLPN,,
SN10001915346,INDEMILLS,TNRN,,
SN10001915346,INDESANSEVERI,TNRN,,
SN10001915346,INDJEDWARD,TNRN,,
SN10001915346,INDJPROETTA,TNLPN,,
SN10001915346,INDKMCKECHNIE,TNRN,,
SN10001915346,INDMAPISCOPA,TNLPN,,
SN10001915346,INDMDEGAGLIA,TNLPN,,
SN10001915346,INDMROHRMAN,TNRN,,
SN10001915346,INDMWEIR,TNRN,,
SN10001915346,INDNGEIGER,TNRN,,
SN10001915346,INDPMGAYLE,TNCC,,
SN10001915346,INDSDREXLER,TNNULL,,
SN10001915346,INDSMILLER1,TNCC,,
SN10001915346,INDSPERL,TNRN,,
SN10001920103,IND@,TNNULL,,
SN10001920103,INDANIJOSEPH,TNRN,,
SN10001920103,INDATEK,TNATI,,
SN10001920103,INDBGARRETT,TNPT,,
SN10001920103,INDBUSHERENKO,TNNULL,,
SN10001920103,INDBZULU,TNT,,
SN10001920103,INDCWALSH1,TNCC,,
SN10001920103,INDDSPACCAREL,TNCC,,
SN10001920103,INDEHOULT,TNPT,,
SN10001920103,INDEPRUYNE,TNOT,,
SN10001920103,INDESAVARESE,TNNULL,,
SN10001920103,INDHGRACE,TNRN,,
SN10001920103,INDHSWEENEY,TNRN,,
SN10001920103,INDJAMFARRELL,TNRN,,
SN10001920103,INDJCRISTALLO,TNRN,,
SN10001920103,INDJINGA,TNRN,,
SN10001920103,INDJPOSA,TNRN,,
SN10001920103,INDKHRENO,TNT,,
SN10001920103,INDKLYNN,TNCM-RN,,
SN10001920103,INDLHUNTER,TNRN,,
SN10001920103,INDMFRASCONE,TNCC,,
SN10001920103,INDMNOACH,TNRN,,
SN10001920103,INDNFRASCONE,TNT,,
SN10001920103,INDPROPPOLO,TNRN,,
SN10001920103,INDPWALSH,TNRN,,
SN10001920103,INDRALBERT,TNRN,,
SN10001920103,INDRMERVIL,TNT,,
SN10001920103,INDSCATALANO,TNRN,,
SN10001920103,INDSLANZA,TNT,,
SN10001920103,INDSTMOGAN,TNRN,,
SN10001920103,INDTARNOLD,TNT,,
SN10001923510,IND@,TNNULL,,
SN10001923510,INDBUSHERENKO,TNNULL,,
SN10001923510,INDBZULU,TNT,,
SN10001923510,INDCFRASCONE,TNRN,,
SN10001923510,INDCHUNEKE,TNRD,,
SN10001923510,INDCWALSH1,TNCC,,
SN10001923510,INDDALEXANDER,TNRN,,
SN10001923510,INDDSPACCAREL,TNCC,,
SN10001923510,INDEHOULT,TNPT,,
SN10001923510,INDEPRUYNE,TNOT,,
SN10001923510,INDESAVARESE,TNNULL,,
SN10001923510,INDJCRISTALLO,TNRN,,
SN10001923510,INDJINGA,TNRN,,
SN10001923510,INDKHRENO,TNT,,
SN10001923510,INDKLYNN,TNCM-RN,,
SN10001923510,INDMFRASCONE,TNCC,,
SN10001923510,INDMGARDINEER,TNRN,,
SN10001923510,INDMNOACH,TNRN,,
SN10001923510,INDNFRASCONE,TNT,,
SN10001923510,INDNPREZZANO,TNRN,,
SN10001923510,INDPROPPOLO,TNRN,,
SN10001923510,INDPWALSH,TNRN,,
SN10001923510,INDRALBERT,TNRN,,
SN10001923510,INDSCATALANO,TNRN,,
SN10001923510,INDSLANZA,TNT,,
SN10001923510,INDSTMOGAN,TNRN,,
SN10001923510,INDTARNOLD,TNT,,
SN10001923510,INDTHINDLEY,TNCC,,
SN10001923510,INDVARGUMEDO,TNT2,,
SN10001924498,IND@,TNNULL,,
SN10001924498,INDATEK,TNATI,,
SN10001924498,INDBGARMON,TNT,,
SN10001924498,INDBZULU,TNT,,
SN10001924498,INDCDELROSARI,TNRN,,
SN10001924498,INDCWALSH1,TNCC,,
SN10001924498,INDDSPACCAREL,TNCC,,
SN10001924498,INDECOKULUMAJ,TNT,,
SN10001924498,INDJAGOLDBERG,TNNULL,,
SN10001924498,INDJHALEY,TNRN,,
SN10001924498,INDJINGA,TNRN,,
SN10001924498,INDJMETZGER,TNRN,,
SN10001924498,INDJNICOL,TNRN,,
SN10001924498,INDJROUSE,TNNULL,,
SN10001924498,INDJWISHNER,TNNULL,,
SN10001924498,INDJWOODALL,TNRN,,
SN10001924498,INDKHRENO,TNT,,
SN10001924498,INDKKAZUP,TNRN,,
SN10001924498,INDKLANGER,TNRN,,
SN10001924498,INDKLYNN,TNCM-RN,,
SN10001924498,INDKPECORARO,TNRN,,
SN10001924498,INDLMCINTYRE1,TNRN,,
SN10001924498,INDLPELLICCIO,TNRN,,
SN10001924498,INDMGRESSIN,TNRN,,
SN10001924498,INDMMOSCO,TNT,,
SN10001924498,INDMNOACH,TNRN,,
SN10001924498,INDNDAVIS2,TNRN,,
SN10001924498,INDNMALASPINA,TNCC,,
SN10001924498,INDPHARRYCHAN,TNCC,,
SN10001924498,INDPWALSH,TNRN,,
SN10001924498,INDRALBERT,TNRN,,
SN10001924498,INDSLANZA,TNT,,
SN10001924498,INDVFELIX,TNT2,,
SN10001926180,IND@,TNNULL,,
SN10001926180,INDAVOLPE,TNT,,
SN10001926180,INDBGARRETT,TNPT,,
SN10001926180,INDBZULU,TNT,,
SN10001926180,INDCHOLLANDER,TNNULL,,
SN10001926180,INDCSASSO,TNNULL,,
SN10001926180,INDDSPACCAREL,TNCC,,
SN10001926180,INDECOKULUMAJ,TNT,,
SN10001926180,INDEHOULT,TNPT,,
SN10001926180,INDESAVARESE,TNNULL,,
SN10001926180,INDHGRACE,TNRN,,
SN10001926180,INDHVILLAFUER,TNT2,,
SN10001926180,INDJJEYADOSS,TNRN,,
SN10001926180,INDJPOSA,TNRN,,
SN10001926180,INDKAFRAMIAN,TNOT,,
SN10001926180,INDKHRENO,TNT,,
SN10001926180,INDKLYNN,TNCM-RN,,
SN10001926180,INDKMCGUINNES,TNRN,,
SN10001926180,INDKWATSON2,TNT,,
SN10001926180,INDLHUNTER,TNRN,,
SN10001926180,INDMBRISSETT,TNT,,
SN10001926180,INDMFRASCONE,TNCC,,
SN10001926180,INDMNOACH,TNRN,,
SN10001926180,INDMPALOTTA,TNRN,,
SN10001926180,INDPHEBERT,TNRN,,
SN10001926180,INDROSCHULTZ,TNCM-RN,,
SN10001926180,INDSLANZA,TNT,,
SN10001926180,INDSPHILIPS,TNCM-RN,,
SN10001926180,INDSTMOGAN,TNRN,,
SN10001926737,IND@,TNNULL,,
SN10001926737,INDAREEDER,TNRN,,
SN10001926737,INDASCAMPONE,TNRN,,
SN10001926737,INDATRAKHT,TNNULL,,
SN10001926737,INDBOCASIOCOR,TNCC,,
SN10001926737,INDDDUVALL,TNCC,,
SN10001926737,INDDEJOHNSON,TNLPN,,
SN10001926737,INDEMILLS,TNRN,,
SN10001926737,INDGSMYTH,TNRN,,
SN10001926737,INDJCATALANO,TNLPN,,
SN10001926737,INDJCORNELIO,TNRN,,
SN10001926737,INDJOHARODRIG,TNMR,,
SN10001926737,INDJPROETTA,TNLPN,,
SN10001926737,INDKLOWE,TNLPN,,
SN10001926737,INDLMARAIA,TNCC,,
SN10001926737,INDMACQUISTO,TNRN,,
SN10001926737,INDMAPISCOPA,TNLPN,,
SN10001926737,INDMARLIA,TNNULL,,
SN10001926737,INDMWEIR,TNRN,,
SN10001926737,INDPMGAYLE,TNCC,,
SN10001926737,INDRGABRILLO,TNRN,,
SN10001926737,INDSMILLER1,TNCC,,
SN10001926737,INDSPERL,TNRN,,
SN10001926737,INDSRENZI,TNRN,,
SN10001927040,IND@,TNNULL,,